var	tipo	nulo	llave	"valor"
CPRO	N	NA	NA	""
CMUN	N	NA	NA	""
IDHUECO	N	NA	NA	""
NORDEN	N	NA	NA	""
FACTOR	N	NA	NA	""
MNAC	N	NA	NA	""
ANAC	N	NA	NA	""
EDAD	N	NA	NA	""
SEXO	D	NA	1	"Hombre"
SEXO	D	NA	6	"Mujer"
NACI	N	NA	NA	""
CPAISN	N	NA	NA	""
CPRON	N	NA	NA	""
CMUNN	N	NA	NA	""
ANORES	N	NA	NA	""
ANOM	N	NA	NA	""
ANOC	N	NA	NA	""
ANOE	N	NA	NA	""
CLPAIS	N	NA	NA	""
CLPRO	N	NA	NA	""
CLMUNP	N	NA	NA	""
CPAISUNANO	N	NA	NA	""
CPROUNANO	N	NA	NA	""
CMUNANO	N	NA	NA	""
CPAISDANO	N	NA	NA	""
CPRODANO	N	NA	NA	""
CMUNDANO	N	NA	NA	""
SEG_VIV	D	NA	1	"Sí"
SEG_VIV	D	NA	2	"No"
SEG_PAIS	N	NA	NA	""
SEG_PROV	N	NA	NA	""
SEG_MUN	N	NA	NA	""
SEG_NOCHES	N	NA	NA	""
SEG_DISP	D	NA	1	"Sí"
SEG_DISP	D	NA	2	"No"
ECIVIL	D	NA	1	"Soltero"
ECIVIL	D	NA	2	"Casado"
ECIVIL	D	NA	3	"Viudo"
ECIVIL	D	NA	4	"Separado"
ECIVIL	D	NA	5	"Divorciado"
ESCOLAR	D	NA	1	"Sí"
ESCOLAR	D	NA	2	"No"
ESREAL	D	NA	1	"No sabe leer o escribir"
ESREAL	D	NA	2	"Sabe leer y escribir pero fue menos de 5 años a la escuela"
ESREAL	D	NA	3	"Fue a la escuela 5 o más años pero no llegó al último curso de ESO, EGB o Bachiller Elemental"
ESREAL	D	NA	4	"Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios"
ESREAL	D	NA	5	"Bachiller (LOE, LOGSE), BUP, Bachiller Superior, COU, PREU"
ESREAL	D	NA	6	"FP grado medio, FP I, Oficialía industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas"
ESREAL	D	NA	7	"FP grado superior, FP II, Maestría industrial o equivalente"
ESREAL	D	NA	8	"Diplomatura universitaria, Arquitectura Técnica, Ingeniería Técnica o equivalente"
ESREAL	D	NA	9	"Grado Universitario o equivalente"
ESREAL	D	NA	10	"Licenciatura, Arquitectura, Ingeniería o equivalente"
ESREAL	D	NA	11	"Máster oficial universitario (a partir de 2006), Especialidades Médicas o análogos"
ESREAL	D	NA	12	"Doctorado"
TESTUD	D	NA	1	"Educación (Magisterio, Educación Infantil, Pedagogía, ...)"
TESTUD	D	NA	2	"Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)"
TESTUD	D	NA	3	"Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, …)"
TESTUD	D	NA	4	"Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)"
TESTUD	D	NA	5	"Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)"
TESTUD	D	NA	6	"Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)"
TESTUD	D	NA	7	"Salud y Servicios Sociales (Medicina, Enfermería, Farmacia, Trabajo Social, ...)"
TESTUD	D	NA	8	"Otros servicios (Turismo, Hostelería, Peluquería, Enseñanza Naútica, Militar, …)"
TAREA1	D	NA	1	"Sí"
TAREA1	D	NA	2	"No"
TAREA2	D	NA	1	"Sí"
TAREA2	D	NA	2	"No"
TAREA3	D	NA	1	"Sí"
TAREA3	D	NA	2	"No"
TAREA4	D	NA	1	"Sí"
TAREA4	D	NA	2	"No"
HIJOS	D	NA	1	"Sí"
HIJOS	D	NA	2	"No"
NHIJOS	N	NA	NA	""
RELA	D	NA	1	"Ocupado"
RELA	D	NA	2	"Parado que ha trabajado antes"
RELA	D	NA	3	"Parado buscando su primer empleo"
RELA	D	NA	4	"Persona con invalidez laboral permanente"
RELA	D	NA	5	"Jubilado, prejubilado, pensionista o rentista"
RELA	D	NA	6	"Otra situación"
JORNADA	D	NA	1	"Tiempo completo"
JORNADA	D	NA	2	"Tiempo parcial"
CNO	N	NA	NA	""
CNAE	N	NA	NA	""
SITU	D	NA	1	"Empresario, profesional o trabajador por cuenta propia que emplea personal"
SITU	D	NA	2	"Empresario, profesional o trabajador por cuenta propia que no emplea personal"
SITU	D	NA	3	"Trabajador por cuenta ajena fijo o indefinido"
SITU	D	NA	4	"Trabajador por cuenta ajena eventual o temporal"
SITU	D	NA	5	"Otra situación: ayuda familiar"
SITU	D	NA	6	"Otra situación: miembro de cooperativas"
ESCUR1	D	NA	1	"ESO, Educación secundaria para adultos"
ESCUR1	D	NA	2	"Programas de Cualificación Profesional Inicial"
ESCUR1	D	NA	3	"Bachillerato"
ESCUR1	D	NA	4	"Grado Medio de FP, de Artes Plásticas y Diseño y de EE. Deportivas o equivalente"
ESCUR1	D	NA	5	"Enseñanzas de Escuelas oficiales de idiomas"
